smiles1,smiles2,ged
C1CC2OCC12,Cc1cc(co1)O,9
CCC(C)(C)O,OC1CC(O)C1,4
COCCCO,ON=C1CCC1O,6
Cn1cccn1,CC1=COC(=N)O1,6
CC(O)CC#N,NC(=O)C1CO1,5
CC(C)O,CC12CC1CO2,6
O=CC1CO1,OCC1CC1O,4
OC12CN(C1)C2,CCC1(CC1)O,4
CC1(O)CC1O,N=C1OC=CN=C1,8
CC(=O)NC=N,C1OC1C1CO1,6
CC1CCC1=NO,c1cc(oc1N)O,9
C1CC1CC=O,Cc1[nH]cc(n1)O,9
C1CC12CCO2,Cc1coc(n1)O,9
c1cnon1,CC1OCC1=O,10
CC(O)C(C)O,c1cnc(cn1)N,10
c1c(nc[nH]1)O,c1c(oc(n1)N)N,4
COC(C)C#N,C(=O)C#CC=O,6
Cn1cnnc1,Cc1ccc([nH]1)O,10
c1c[nH]nc1O,Cc1cc(oc1)C,5
CNCC#N,C1CC1CO,4
OC1CC(O)C1,CCC(C)C#N,5
COC(C)=N,c1cnc(cn1)N,10
C1COCO1,CCC(=NO)C#C,8
CC(=O)OC,[NH3+]CCC([O-])=O,4
CCCOCC,CCOC1CC1,1
c1ccoc1,CC1COC1,6
CC1(CN1)C=O,C1CC2(C1)CC2,4
CC1CC1C#N,C1COCC1=NO,6
C1CC1C#N,C(=O)C#CC#N,4
c1conc1O,Cc1cc(c[nH]1)O,4
CC(C=O)C#N,Cc1cc(oc1)C,8
C(=O)C#CC#N,C(C#N)OC=O,2
OC1CC1C=O,c1[nH]c(c(n1)O)N,10
CCC(C)OC,c1c(c(c[nH]1)O)N,8
c1conc1N,C(C(F)(F)F)O,9
CC(C)CO,CCC(C)C#N,3
CC(=NO)CO,C1C2C3CN1C23,6
CC(C)(C)C,CCOC(=O)N,8
CCC#CCC,CCCOCC,2
CCCO,OC12CC1OC2,6
c1c(con1)N,c1ccnc(c1)O,7
C1C2CCCC12,C1C2C3CC2C13,3
CC1COCO1,CC(=NO)C1CN1,7
Cc1cnco1,C1C2OC1C=C2,7
CN(C)C(=O)N,Cc1[nH]ncn1,9
CCC(=O)CC,c1nc(on1)N,9
CC(C)(C)O,OC(C=O)C#C,4
c1c(nco1)N,CC(C)(C=O)O,8
CCNC(=O)C,CNC(=O)C#C,2
C1C(=NO)CO1,CC1NC1CO,6
CC1(CN1)C#N,Cc1c[nH]c(=O)[nH]1,5
OC1CCC1=O,C#CCN1CC1,6
CCCC(=NO)C,Cc1coc(=O)o1,6
C(=O)NC=O,c1c(nn[nH]1)N,9
C(C(=O)C#N)O,CC1CCC1=NO,7
CC1(CCC1)C,CC1=CCCC1,3
COCC(=O)N,CCC1(CC1)C,6
C1C2C3OC2C13,c1ccoc(=O)c1,4
CC(C#C)C#C,Cc1c(ocn1)N,9
C1CN1C=O,CC1CC1C#N,5
C(C#N)O,C(=O)NC(=O)N,7
OC1CC1C#C,Cc1c[nH]cc1O,8
CC1CCC1=NO,Cn1cccc1N,5
COC(=O)C#C,N=C1NC=NO1,5
ON=C1CC(O)C1,c1c(nc(o1)O)N,9
CO,CC1(CC1)C#C,10
c1cnc[nH]1,CCC(C)(C)C,10
CC#CCC#C,CN1CC1C#C,3
C1CCC=CC1,c1cnc(cn1)N,10
C(C#N)C(=O)N,C(CO)NC=O,4
C(CC#N)C=O,CC(C)C1CC1,6
CC(C)C1CC1,N=C1NC=NO1,8
O=CCC1CO1,C1CC2OCC12,5
C1COC(=O)N1,CCCN1CC1,5
CCC1(CC1)C,c1cnnnn1,12
C,CC1NC1C#N,11
CC1(CO1)C#C,C1C=CCC1=NO,7
CC1CC(=O)C1,Cn1cnnn1,7
CC(O)C1CN1,c1[nH]c(c(n1)O)O,9
C1CC1C2CC2,c1ccoc(=O)c1,6
c1cc([nH]c1)N,C1CC1CC#N,7
C(CO)CO,C1CCC(C1)O,4
CCC#CCC,c1cn[nH]c1O,8
c1coc(=O)o1,CC1=CCCC1,5
C(CC#N)C#N,C1C2C3CN1C23,6
C1OC1C1CO1,c1ccc(cc1)O,10
C(C#N)O,CCC1CC1C,8
C1C2CC1O2,Cc1nc(co1)N,10
C#CC(=NO)CO,CC1NCC1=NO,3
CNC(=O)OC,Cc1c(cco1)O,9
COCC#C,Cc1c[nH]cc1N,9
CCCOC,CC(C)C(=O)C,5
CN1CC1C#C,c1c([nH]c(=O)[nH]1)O,7
COC(=O)N,c1(nnon1)O,8
CN1CC1C#C,CCC(=NO)CC,6
CCC(=O)C#C,CC(CO)C#C,3
CC(C)CCO,c1c(c(c[nH]1)O)O,8
c1cc[nH]c1,C1C(CO1)O,8
CC1CO1,c1[nH]ncn1,9
N=C1OC=CO1,Cc1cnco1,8
C1C2C3CC1C23,c1c(n[nH]n1)N,11
CC12CC(C1)O2,N1C2C1C1NC21,5
c1c(nc(o1)N)N,Cc1ncc(o1)N,3
CC1OC1(C)C,C1CC1OC=O,4
C#CC(=O)N,c1ncnc(n1)N,10
c1nnno1,C(CO)C(=O)N,9
C#CC(=O)CO,CC(=NO)C(=O)N,6
c1[nH]ncn1,C1CC2(C1)CO2,12
C(=O)C#CC=O,C12C3C1N1C2C31,9
CC(C)C=O,c1nc([nH]n1)O,10
CNC(=O)C#C,Cc1nnon1,9
c1cc([nH]c1)N,CCC(N)C#N,6
CCC1CN1C,N=C1C=COC=N1,7
CC(=NO)C1CO1,c1cnc(cn1)O,10
C(=O)C(C=O)O,N=C1OC=NC=C1,7
N=COC=O,c1coc(c1O)N,10
CC1CC1C#N,CCC(F)(F)F,6
CCC(O)CO,C1CNC(=O)N1,5
CNC(=O)C#C,C1CN1C(=O)N,4
NCC(O)C#N,c1c(coc1N)O,8
c1c[nH]nc1,CCC#CC#C,9
C(CO)C(=O)N,NC1=CNC(=N)O1,6
c1cc[nH]c1,CC12CC(C1)O2,10
OCC(O)C=O,OC12CC1CC2,5
C1CN1CCO,c1c(c[nH]c1N)O,8
CCC(C)(C)C,N=C1C=COC=N1,9
C(F)(F)(F)F,CC(=O)OC=N,9
CCC(C)C#C,ON=C1CCC1O,6
COCCO,CCN(C)C=O,5
c1[nH]ncn1,C(=O)NC(=N)N,8
CC1CN1C,OC1C2CC1O2,6
C1C2CC1C2,Cc1ccc([nH]1)C,10
CC(=O)N1CC1,CC(=NO)C1CO1,5
OC1CC1O,CCC(=O)OC,5
CC(=O)C,CC1CC=CC1,7
CC1(CO1)C#N,C1C2OCOC12,5
C1CC(=O)C=C1,OCC1CC1O,4
C1CN1C=O,CCC(C)C#C,6
CC(O)C(C)O,c1coccc1=O,6
COC=O,c1[nH]c(=O)ncn1,8
CC(=NO)C,OC12CC(C1)C2,7
CC1OCC=C1,Cc1ccno1,6
COCCCO,CC(=O)N1CC1,5
CC(=O)CO,Cc1cc([nH]c1)C,10
C1C2C3OC1C23,CC1CC(C1)=NO,6
CC(O)CO,CC1NCC1=NO,7
ON=C1CN2CC12,Cc1coc(n1)O,10
CC(C)C,C(=O)C#CC#N,7
C1COCCO1,ON=C1CC2CC12,8
CC1CO1,CC(C)C#N,4
c1c(nn[nH]1)N,Cc1coc(n1)O,5
C#CC#CC#N,C(CC=O)C=O,5
ON=C1CC2OC12,Cc1ccc(o1)C,9
C1CC2(C1)CC2,c1ccnc(c1)N,10
CN=C(C#N)N,NC1COC1=O,6
CC1COCO1,COC1CCC1,3
CC#CC(C)C,CC1(CO)CO1,5
OC1C2CC1C2,C1C=CCC1=NO,7
C(=O)C#CC#N,C1CC(C1)C=O,4
NC(C#C)C#N,C1C2(N1)COC2,6
C1COC=N1,N=C1OC=CC=C1,7
CC(C#C)C#N,CCCCC#C,4
CC1NC1CO,c1ncnc(n1)N,11
CCCCC,OCC(O)C#C,4
C1C=CC2NC12,Cc1cc([nH]c1)C,8
CCCC#C,c1c[nH]cc1O,8
N=C1OC=NO1,OC1=CNC(=N)O1,4
OC1CCC=C1,CC#CC1CN1,4
OCC(O)C#N,c1c(con1)N,6
CC(C)C1CC1,Cc1c(nc[nH]1)O,10
c1ccnc(c1)N,c1c(c(c[nH]1)N)N,4
CC(O)CC#C,c1(=O)[nH]nno1,7
CCC(O)C#N,OC1CCC1=O,3
C1COC=N1,OC1CC2OC12,5
CCCC(C)C,Cc1ccn(c1)C,4
CC1CC(=N)O1,Cc1cc[nH]c1C,9
N=C1COCO1,Cc1c[nH]c(n1)O,9
OC1CCC1=O,c1coc(c1O)N,8
C#CC#CC#N,c1coc(c1N)N,9
CCC(=NO)C#C,Cc1c(cc[nH]1)N,8
CCOC1CC1,Cc1cnc(o1)N,8
c1c(nc[nH]1)O,C(C#CCO)O,7
CN1CC1,CC(C)(C#N)O,6
c1coc(=O)[nH]1,CCC(=NO)C#C,7
CC1(CO1)C#N,O=C1CC2CC12,6
CC(C)C#C,N=COCC#C,5
CC1CC1(C)C,C#CCCC#N,5
NCC(O)C#N,C1CC(C1)CO,5
C1CC1(CO)O,c1cnccc1O,9
c1cc(oc1)N,c1c([nH]c(=O)[nH]1)N,9
C1OC2COC12,Cc1coc(n1)C,9
C1C2CC1O2,C#CC#CC#N,7
COCCO,c1cc([nH]c1N)O,9
CC#C,CCCCCO,7
CCC#CCO,Cc1cnccn1,9
OCC1CO1,Cc1cnco1,8
CC(C)C#N,N=COCC#C,6
C(=O)C#CC#N,C1CC1OC=O,5
COCC#C,CC(C=O)C#C,5
CC(C)(C)C#N,COC(C)C#C,4
COCC1CN1,N1C2C1C1OC21,2
C1C(=O)CO1,Cc1[nH]cc(n1)O,10
c1cc([nH]c1)N,CC(=O)CCO,8
CC(C)OC=O,OCC1CCO1,3
CCN1CC1C,Cn1cc(nc1)O,5
C(C#N)O,Cc1c[nH]cn1,8
CC(C)(C)O,CC(O)C(N)=O,5
N=COC1CC1,c1coccc1=O,6
[NH3+]CC([O-])=O,Cc1c([nH]cn1)O,10
N=C1OC2CC12,c1nc(c(o1)N)N,10
OC12CC1OC2,OC1C2CCC12,3
CNCC#N,CC(C#C)C#C,5
C(#N)C#N,CCOC,5
COC1CC1C,c1nc([nH]n1)O,10
CC(CO)C#N,CC#CCC#N,3
CC1COC1=O,c1c(cn[nH]1)N,9
c1conc1O,c1c[nH]c(c1O)N,4
Cc1ncc(o1)N,c1c([nH]c(=O)o1)N,8
OC(C=O)C#N,COC(=O)CN,5
CCC(CC)O,CCCCC#N,3
CC1CCCC1,CC(C)N1CC1,3
CCCO,CC1OC1CO,5
COC,CC#CC=O,6
CC(C)C=O,CCOC1CC1,6
CC1NCC1=O,CC1CC1C#N,5
C1C2CC1C2,C#CC1(CC1)O,6
C(C(CO)O)O,c1c(oc(=O)o1)O,5
C1CC12CCO2,Cc1cc[nH]c1N,10
CCC(C)C#C,Cc1c(nco1)O,8
CC(N)C#N,Cc1ccn(c1)C,7
CC#CC(C)C,CC(=NC)OC,5
c1cc[nH]c1,CCOC(=O)C,8
c1ncncn1,Cc1ccncc1,4
C1C2OC1C=C2,CN1CC(=NO)C1,7
CC(C)C#C,c1c(nc(o1)N)O,10
C(=O)(N)N,CN(C)C(=O)N,4
C(C(CO)O)O,CC1CCC=C1,5
C(=O)N,CC1COC1=O,8
C#CCC#N,N=C1N=COC=N1,9
CC1OC1C,CC(C=O)C#C,5
C(C=O)OC=O,c1c(onn1)N,9
CC(C)C=O,CC1OC1(C)C,4
CC1(CCO1)C,N=C1OC=CN=C1,7
CC#CCO,CC1OCC1=O,4
C(C#CC#N)O,COCC1CO1,5
CC1NC1C#N,c1nncnn1,9
C#CCO,CCCC1CC1,7
Cc1[nH]c(cn1)O,Cc1nccn1C,7
OC1CCC=C1,C(C#CCO)O,3
CCC,CNC=O,3
CCC(=O)C#N,CC(=NC)OC,5
CC(C)OC=O,CC1(O)CC1O,4
C1CC1(C=O)O,CC(=O)N1CC1,4
CC(C)(C)O,c1cn[nH]c1N,9
C1C2CCC1O2,C(C(F)(F)F)N,8
C1CN1C=O,CC1(C)CC1O,5
C(C=O)O,C1C=CC(=O)N1,7
COCC#C,CCOCC#N,3
CCCC,C(C#CC#N)O,5
CC1COC1C,C#CCC1CC1,4
c1nnco1,OC1=CNC(=N)O1,10
c1c[nH]cc1N,c1conc1N,2
CCNC(=O)N,OC1CC1C#C,5
CC1CC1C,CCCC1CO1,4
C#CCO,CCC1COC1,6
CN1CC(C1)O,CC#CCC#C,6
CC([NH3+])C([O-])=O,c1c(cncn1)O,11
CC(C)C,c1c([nH]c(n1)O)N,11
OCC(O)C=O,CC#CC1CC1,7
CC(C)(C)O,C1C(=O)OCO1,7
CC#CC(C)C,CC1(CO1)C#N,5
C(C=O)C#N,Cc1cc[nH]n1,8
C1CN1C=O,CC1(CC1)CO,4
c1c(nco1)O,CCC(=O)C=O,7
c1[nH]c(=O)on1,Cc1cnc(o1)C,10
CCC#CCO,Cc1cocc1N,8
CC(=O)N(C)C,CC1COC1C,3
OC1C2CC1O2,C1C2C1N1CC21,5
c1conc1N,Cc1cn(cn1)C,9
CC1NCC1=NO,C1C(=NO)C=CN1,3
COC(=O)CO,CC1=COC(=N)N1,6
C1C(=O)CO1,CC(O)C(C)O,4
OC12CC1OC2,O=C1CC2CC12,3
CC1=NCCO1,c1(n[nH]nn1)N,9
C(=O)NC=O,Cc1ccoc1,9
O=CC1CCO1,Cc1cc([nH]c1)C,10
CCC#N,Cc1cccnc1,9
CC#CC1CC1,CC1=COC(=N)N1,7
CC1CCC=C1,CC12CC1CC2,2
CC1(CO1)C,c1[nH]c(=O)on1,8
CC1C2CCC12,OC1CC2CC12,3
N=C1CCO1,N=C1OC=CC=N1,7
c1cnc([nH]1)O,C#CCC1CC1,9
C(#N)C(C#N)O,C(COC=O)O,6
C1CC1C#N,CC#CC1CN1,4
CC(C)C#N,CCCCC=O,6
OCC(O)C=O,Cn1cncn1,7
CC(=NO)C1CC1,c1cc([nH]c1O)O,9
CC(=O)COC,c1cnc(cn1)N,10
C1COCC1=O,c1c(oc(=O)[nH]1)O,5
CC1COC1,CC1(CO1)C=O,4
CC,c1cc(cnc1)O,12
CN(C)C(=O)N,CC1COC=N1,6
CC1CCCC1,Cn1ccnc1O,4
C(C=O)C(=O)N,CN(C)C(=O)N,4
c1nc(on1)N,N=C1C=COC=N1,10
COC(=O)CO,C(CO)NC=O,3
C1C2C3C1CN23,Cn1cc(nc1)O,5
CC12CN(C1)C2,CCC(O)C#C,6
CCC(=NO)CC,c1c([nH]c(n1)O)N,10
CCC(=NO)C,N=COC1CC1,6
OC1CCC1O,C#CCCC=O,4
c1c(nc[nH]1)O,C1CC1(C#N)O,7
CC#CC(=O)C,C1C(CO1)C#N,6
OC1C2CC1C2,C1C2C1C1CC21,4
C1C=CC(=O)N1,C#CCC1CC1,6
C1CC1C#N,C1C2C3C1CN23,7
CC(C)OC,CC1(CC1)O,3
CCC(=O)CO,CCCOC=O,4
CC1C(O)C1O,C1C2C3CN1C23,4
CC,COCCOC,8
CC(=O)C(=N)N,C1C(=O)NC=N1,3
CCOCC#N,c1c[nH]c(c1O)O,8
CC1CC1,C1CC1(C#N)N,4
c1c(ocn1)N,CC1OCC1=O,8
CCNCC#N,CC#CC1CN1,4
C(#N)C#N,CC(C)C(=O)C,8
CCC(=O)C#N,CC1(CO)CN1,5
C1COCO1,CC1CC(=N)O1,5
CC(=O)NC,CC1COCO1,6
CCOCC,c1ccccc1,8
C#CC1COC1,c1(=O)[nH]nn[nH]1,8
CC1(CCC1)O,Cc1ncc(o1)N,9
c1c(nc[nH]1)N,Cc1cocc1C,5
CC1(CN1)C#N,C#CCCC#N,4
c1c[nH]nc1,CC(=O)C1CC1,10
CC1CC=CC1,CC(=O)C1CO1,6
c1c(nco1)O,OC1CC2CC12,8
CC(CO)C=O,COC(C)CO,3
c1cncc(=O)[nH]1,c1cnc(nc1)O,9
Cn1cnnn1,c1c(con1)N,8
CC1COC1=O,CCN=COC,4
C1OCC2NC12,C#CC(=NO)C#C,8
C1CC1(C=O)O,c1cc([nH]c1O)O,9
CCC(=O)N,CC1(CC1)O,3
N=COCC=O,c1cnc(cn1)N,10
CC(=NO)CO,CCCC(=NO)C,3
CC(C)(C)OC,Cc1nccn1C,7
CCOCC=O,c1c(oc(n1)N)N,9
NC(=O)OC=N,CC1(CN1)C#C,7
C1CC2(C1)CC2,C1NC1C1CN1,4
N=C1CN=CN1,c1coc(=O)cn1,6
CC1CO1,CC1CC(O)C1,6
C,CC(O)C(C)=NO,12
CCN(C)C=O,CCC(=NO)CC,6
C#CCC#C,CN1CC1C#C,5
C#CC#CC#C,CC(=O)N1CC1,7
c1cc(oc1)N,CC1CCC1O,7
CC1(CC1)O,Cc1c[nH]c(n1)C,10
CCCOC,C1CC1N2CC2,5
COCC#N,Cc1coc(n1)O,8
CN1CCC1=O,C1OC1C1CO1,5
CC(O)CCO,CCC(=O)C=O,3
CC(C)(C)C=O,c1ccnnc1,10
C(CC#N)C=O,O=C1CC2OC12,4
C1C2C3CC1C23,c1ccnc(c1)N,11
CC1CC=CC1,ON=C1CC2NC12,7
COC(=O)CN,C1C2OC=NC12,4
C1C2C3C1CN23,c1nc(on1)N,10
NC(=O)OC=N,CCC(CC)O,6
C1CO1,OC1CC2NC12,8
CC(=N)OC=O,ON=C1CC2OC12,6
C1C2C1C1OC21,N1C2C1C1NC21,2
C#CCCC#C,c1nc(no1)O,10
CNC(=O)OC,c1ccc(cc1)O,10
CC(C)CC#N,OC1=COC(=N)O1,7
CCC1COC1,Cc1nnon1,9
C1CCC(=O)C1,c1c([nH]nn1)N,10
N=COCC#N,Cc1cocc1C,10
C(#N)C#N,c1c(coc1N)O,11
C1COC1=O,C#CC1CN1,5
[NH3+]CCC([O-])=O,COC(=O)C#C,5
CCC=O,COCC#N,5
O=CC1CO1,c1conc1O,7
C#CCCC#C,OCC1CC1O,5
CC1(CO1)C,C(CC=O)C=O,6
[NH3+]CCC([O-])=O,c1c([nH]c(n1)O)O,10
C#CC(C#C)O,c1cc([nH]c1O)O,8
Cc1conn1,c1coc(c1O)N,5
CC1CC1(C)C,N=C1OC=NC=N1,10
c1c[nH]nc1O,CC(=NO)CCO,8
CCC(=O)CO,c1ncnc(n1)O,10
CCC(O)CO,Cc1cnc(o1)O,8
CCCCOC,c1c([nH]c(n1)O)N,9
C,C(C=O)O,6
Cc1c[nH]nn1,c1cnc(cn1)O,6
CC(C)C,NC(=O)C1CO1,6
CC1CC(=O)N1,C1CN1CC=O,4
c1coc(=O)o1,Cc1c[nH]c(n1)C,10
CCC(=NO)C,c1c(oc(=O)o1)O,7
OC1C2CC1C2,Cn1cnnc1,6
CC([NH3+])C([O-])=O,C(#N)C(F)(F)F,7
C(=O)C#N,CCC#CCO,6
CN1CC1C=O,N=C1NC=NO1,6
NC(=O)C1CN1,Cc1n[nH]nn1,9
C1C2C3CC1C23,Cc1c[nH]nn1,10
CC1OC1CO,c1nc(c(o1)N)N,10
NC(=O)OC=N,c1(=O)[nH]nno1,3
C1C2CC1C2,C(CO)C=O,5
COC(=O)C#C,N=C1OC2CC12,4
CC1COC1=N,N=C1NC=NO1,4
CN1CC1,CCCC(=NO)C,8
CC1C2CC1O2,c1c(cncn1)N,12
CCC#CC#N,Cc1cnn[nH]1,7
CC(=O)CO,Cc1c[nH]cc1N,9
CO,c1c(onn1)N,10
CC(=N)OC=O,CCCC1CC1,6
c1cnc(cn1)N,Cc1cocc1N,5
CC1OCC=C1,CCC1CC1O,3
CC(C)CC#N,CN=CNC=O,6
C1C(=NO)CO1,CN1CC1C#C,6
N,c1c(nn[nH]1)O,11
CN=COC,c1c[nH]cc1O,7
CO,CCOCC#N,8
C(C=O)NC=O,Cc1cc(oc1)N,8
CCCCCO,c1ccc(cc1)O,7
N,CC(=N)OC=O,10
NC(=O)C1CN1,Cn1ccnn1,5
OC1CC=CC1,c1[nH]nc(n1)O,8
OC(C#C)C#N,CCC1CC1C,5
CC1(CO1)C#C,Cc1ccn(c1)C,6
c1cocn1,N1C2C3OC2C13,10
C1C2CC1O2,CCNCC#N,5
CC(N)C#N,C#CC#CC#N,6
CC1(CC1)C#N,c1cn[nH]c1N,8
OC1CCC1O,C1C2CC=CC12,5
C(C=O)C#N,CC1(COC1)C,7
N1C2C1C1OC21,c1cc(oc1N)O,9
c1nnno1,c1(=O)onno1,8
C1CCOC1,C1C=CC2OC12,5
CC1C(C)C1O,OCC1CCO1,3
CC1CC1O,CC1CC2CC12,4
CC(C)(C)O,CC(C)C#N,3
CC(O)C(C)O,NC1COC1=N,4
C1OCC2NC12,NC1=COC(=N)O1,5
ON=C1CC2NC12,c1cc([nH]c1N)O,9
CC(=O)CC#N,c1cnccc1O,8
CCC1(CC1)O,CC(C)C(=NO)C,5
CC1CO1,CC(O)C1CO1,4
C(=O)N,C#CCCCO,8
C1COC=N1,CC1CCC1O,6
CC(=NO)C(=NO)C,Cc1ccncn1,10
CCOC(C)C,C1C2C3OC1C23,3
CC1NC1C#C,CC(O)C1CO1,5
CCCN1CC1,c1c(nn[nH]1)N,9
CC(C)C#C,C1C2C3OC1C23,6
CC1OC2CC12,Cn1cccc1N,5
O=CC1CN1,c1c[nH]cc1N,8
CCC(=O)N,CC1C2CC1O2,6
C1C(=O)NC=N1,C1OCC2NC12,6
CC(C#C)C#C,N1C2C1C1OC21,7
COC1CC1C,Cc1ccc([nH]1)N,9
N=C1CN=CN1,Cn1ccc(c1)N,5
CC1CCC1C,C1CC2OCC12,2
Cc1ccoc1,C1CC2CCC12,8
CC(C)C#C,C(C(=O)CO)O,6
